batter,total_runs,total_balls,dismissals,matches_played_x,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,matches_played_y,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score
TM Head,634.0,341.0,15.0,16.0,42.266666666666666,185.92375366568913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.864750733137825
Rashid Khan,441.0,288.0,25.0,41.0,17.64,153.125,98.0,2083.0,301.0,76.0,6.920265780730897,21.255102040816325,18.428571428571427,1.2894736842105263,47.865942122748734
H Klaasen,961.0,569.0,22.0,27.0,43.68181818181818,168.8927943760984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.88310432976513
T Stubbs,439.0,262.0,10.0,18.0,43.9,167.55725190839695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.68145038167939
Shashank Singh,467.0,289.0,11.0,20.0,42.45454545454545,161.5916955017301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.05470273670966
AD Russell,1088.0,715.0,43.0,53.0,25.302325581395348,152.16783216783216,65.0,1062.0,114.0,51.0,9.31578947368421,16.338461538461537,10.523076923076923,1.2745098039215685,44.88288123904799
PD Salt,709.0,417.0,21.0,22.0,33.76190476190476,170.02398081534773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.133367591640976
B Sai Sudharsan,1108.0,814.0,22.0,26.0,50.36363636363637,136.11793611793613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.33267813267814
SA Yadav,2079.0,1352.0,56.0,65.0,37.125,153.77218934911244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.891937869822485
DP Conway,924.0,669.0,20.0,22.0,46.2,138.11659192825113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.48331838565023
SP Narine,807.0,531.0,45.0,53.0,17.933333333333334,151.9774011299435,64.0,1722.0,257.0,67.0,6.700389105058366,26.90625,24.09375,0.9552238805970149,41.479179627812265
N Pooran,1676.0,1064.0,51.0,67.0,32.86274509803921,157.5187969924812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.36258292790801
AB de Villiers,773.0,511.0,21.0,28.0,36.80952380952381,151.27201565557732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.29726027397261
RM Patidar,833.0,550.0,25.0,25.0,33.32,151.45454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2869090909091
HV Patel,142.0,140.0,17.0,22.0,8.352941176470589,101.42857142857142,106.0,1860.0,230.0,63.0,8.08695652173913,17.547169811320753,13.018867924528301,1.6825396825396826,40.26847724597086
JO Holder,221.0,185.0,16.0,22.0,13.8125,119.45945945945947,51.0,1109.0,131.0,35.0,8.465648854961833,21.745098039215687,15.411764705882353,1.457142857142857,40.24720132482537
TH David,659.0,417.0,23.0,35.0,28.652173913043477,158.0335731414868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.202366802210406
