batter,total_runs,total_balls,dismissals,batting_average,strike_rate,total_wickets,total_runs_conceded,total_overs,economy,bowling_average,bowling_strike_rate,wickets_per_match,overall_score,fit_label,matches_played,batting_style,bowling_style
TM Head,634.0,341.0,15.0,42.266666666666666,185.92375366568913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0952101661779,1,16.0,Explosive,Unclassified
Rashid Khan,441.0,288.0,25.0,17.64,153.125,98.0,2083.0,301.0,6.920265780730897,21.255102040816325,18.428571428571427,1.2894736842105263,99.99140737016961,1,76.0,Aggressive,Economical
H Klaasen,961.0,569.0,22.0,43.68181818181818,168.8927943760984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.2873062789583,1,27.0,Explosive,Unclassified
T Stubbs,439.0,262.0,10.0,43.9,167.55725190839695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.72862595419848,1,18.0,Explosive,Unclassified
Shashank Singh,467.0,289.0,11.0,42.45454545454545,161.5916955017301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.02312047813777,1,20.0,Explosive,Unclassified
AD Russell,1088.0,715.0,43.0,25.302325581395348,152.16783216783216,65.0,1062.0,114.0,9.31578947368421,16.338461538461537,10.523076923076923,1.2745098039215685,100.73967566021709,1,53.0,Aggressive,Run-leaking
PD Salt,709.0,417.0,21.0,33.76190476190476,170.02398081534773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.89294278862624,1,22.0,Explosive,Unclassified
B Sai Sudharsan,1108.0,814.0,22.0,50.36363636363637,136.11793611793613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.24078624078625,1,26.0,Anchor,Unclassified
SA Yadav,2079.0,1352.0,56.0,37.125,153.77218934911244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.44859467455622,1,65.0,Aggressive,Unclassified
DP Conway,924.0,669.0,20.0,46.2,138.11659192825113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.15829596412556,1,22.0,Anchor,Unclassified
SP Narine,807.0,531.0,45.0,17.933333333333334,151.9774011299435,64.0,1722.0,257.0,6.700389105058366,26.90625,24.09375,0.9552238805970149,89.79432221271799,1,67.0,Aggressive,Economical
N Pooran,1676.0,1064.0,51.0,32.86274509803921,157.5187969924812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.19077104526022,1,67.0,Aggressive,Unclassified
AB de Villiers,773.0,511.0,21.0,36.80952380952381,151.27201565557732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.04076973255056,1,28.0,Aggressive,Unclassified
RM Patidar,833.0,550.0,25.0,33.32,151.45454545454547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.38727272727273,1,25.0,Aggressive,Unclassified
HV Patel,142.0,140.0,17.0,8.352941176470589,101.42857142857142,106.0,1860.0,230.0,8.08695652173913,17.547169811320753,13.018867924528301,1.6825396825396826,137.7175983436853,1,63.0,Defensive,Average
JO Holder,221.0,185.0,16.0,13.8125,119.45945945945947,51.0,1109.0,131.0,8.465648854961833,21.745098039215687,15.411764705882353,1.457142857142857,95.33914580815822,1,35.0,Defensive,Average
TH David,659.0,417.0,23.0,28.652173913043477,158.0335731414868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.34287352726514,1,35.0,Aggressive,Unclassified
Tilak Varma,1187.0,856.0,29.0,40.93103448275862,138.66822429906543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.79962939091203,1,39.0,Anchor,Unclassified
KL Rahul,2712.0,2113.0,57.0,47.578947368421055,128.3483199242783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.96363364634968,1,64.0,Anchor,Unclassified
F du Plessis,2747.0,1956.0,70.0,39.24285714285714,140.439672801636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.84126497224656,1,75.0,Aggressive,Unclassified
RD Gaikwad,2433.0,1807.0,57.0,42.68421052631579,134.64305478693967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.66363265662773,1,66.0,Anchor,Unclassified
SO Hetmyer,1195.0,804.0,36.0,33.19444444444444,148.6318407960199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.91314262023218,1,61.0,Aggressive,Unclassified
JC Buttler,2250.0,1599.0,59.0,38.13559322033898,140.71294559099437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.42426940566668,1,62.0,Aggressive,Unclassified
